0,24-HOUR MAN/EMMANUEL,"('Iron Man (Anthony \\""Tony\\"" Stark)', 86)"
1,3-D MAN/CHARLES CHAN,"('Iron Man (Anthony \\""Tony\\"" Stark)', 86)"
2,4-D MAN/MERCURIO,"('Spider-Man (Peter Parker)', 86)"
3,8-BALL/,"('8-Ball (Hobgoblin) (Earth-616)', 90)"
4,A,"('Nanotron', 90)"
5,A'YIN,"('Angela Yin (Earth-616)', 90)"
6,"ABBOTT, JACK","('Jack Russell (Earth-616)', 86)"
7,ABCISSA,"('Donna Bliss (Earth-616)', 64)"
8,ABEL,"('Isabel Kane (Earth-616)', 90)"
9,ABOMINATION | MUTANT,"('Headhunter (Mutant) (Earth-616)', 86)"
10,ABOMINATION/EMIL BLO,"('Abomination (Morlock) (Earth-616)', 86)"
11,ABOMINATRIX,"('Abomination (Morlock) (Earth-616)', 74)"
12,ABRAXAS,"('Abraham Erskine (Earth-616)', 64)"
13,ABSALOM,"('Absalom (Earth-616)', 90)"
14,ABSORBING MAN | MUTA,"('Iron Man (Anthony \\""Tony\\"" Stark)', 86)"
15,ABSORBING MAN/CARL C,"('Iron Man (Anthony \\""Tony\\"" Stark)', 86)"
16,ACBA,"('Acba (Earth-616)', 90)"
17,"ACHEBE, REVEREND DOC","('Reverend Stryker (Power Cult) (Earth-616)', 86)"
18,ACHILLES,"('Achilles (Helmut) (Earth-616)', 90)"
19,ACHILLES II/HELMUT,"('Achilles (Helmut) (Earth-616)', 86)"
20,ACROBAT/CARL ZANTE,"('Carl von Brummel (Earth-616)', 86)"
21,"ADAM 3,031","('Adam Warlock (Earth-616)', 86)"
22,ADAM X,"('Adam Warlock (Earth-616)', 86)"
23,"ADAMS, CINDY","('Annabelle Adams (Earth-616)', 86)"
24,"ADAMS, CONGRESSMAN H","('H. Warren Craddock (Skrull) (Earth-616)', 86)"
25,"ADAMS, GEORGE","('George Tarleton (Earth-616)', 86)"
26,"ADAMS, MARTHA","('Martha Franklin (Earth-616)', 86)"
27,"ADAMS, NICOLE NIKKI","('Claudette and Nicole St. Croix (Earth-616)', 86)"
28,"ADAMSON, JASON","('Jason Wyngarde (Earth-616)', 86)"
29,"ADAMSON, REBECCA","('Rebecca Blake (Earth-616)', 86)"
30,ADMIRAL PROTOCOL/,"('Admiral Leeds (Earth-616)', 86)"
31,ADORA,"('Adora (Earth-616)', 90)"
32,ADORA CLONE,"('Bentley Wittman (Clone) (Earth-616)', 86)"
33,ADRIA,"('Adrian Toomes (Earth-616)', 90)"
34,ADVA,"('Adva (Earth-616)', 90)"
35,ADVENT/KYLE GROBE,"('Kyle Richmond (Zombie Clone) (Earth-616)', 86)"
36,ADVERSARY,"('Adversary (Earth-616)', 90)"
37,AEGIS/TREY ROLLINS,"('Jack Rollins (LMD) (Earth-616)', 86)"
38,AENTAROS,"('Aentaros (Earth-616)', 90)"
39,AFTERLIFE,"('Afterlife (Earth-616)', 90)"
