Hero,Name,Gender
MAGUS II,"('Shingen Harada II (Earth-616)', 86)",Male
DORREK [SKRULL],"('Dorrek VIII (Earth-616)', 86)",Male
DESADIA,"('Sir Percy of Scandia (Earth-616)', 64)",Male
MISS ITCH/BLISS,"('Bliss (Morlock) (Earth-616)', 86)",Female
MAN-OF-WAR,"('Spider-Man (Peter Parker)', 86)",Male
PERRIKUS,"('Perrikus (Earth-616)', 90)",Male
"CRAIG, REV.","('Craig Hollis (Earth-616)', 86)",Male
ZIRA,"('Ziran (Earth-616)', 90)",nan
"BLAKE, KENT","('Donald Blake (Earth-616)', 86)",Male
RICOCHET/SEN. STEVEN,"('Captain America (Steven Rogers)', 86)",Male
GATECRASHER,"('Jennifer Walters (Heroes Reborn) (Earth-616)', 66)",Female
DREADNAUGHT,"('Manslaughter (Earth-616)', 58)",Male
MOONGLOW/,"('Brock Rumlow (Earth-616)', 57)",Male
"SANDHURST, VINCENT","('Mesmero (Vincent) (Earth-616)', 86)",Male
"CASSADA, MICHAEL","('Michael Morbius (Earth-616)', 86)",Male
"SCICLUNA, MICHELE","('Michele Gonzales (Earth-616)', 86)",Female
AHQLAU,"('Ahqlau (Earth-616)', 90)",Female
DRACULA | MUTANT X-V,"('Headhunter (Mutant) (Earth-616)', 86)",Female
HAMES,"('Hames (Earth-616)', 90)",Male
GROTESK,"('Proteus (Olympian) (Earth-616)', 66)",nan
"HONIKAWA, SHO","('Shimata-Kawa (Earth-616)', 57)",Male
"BOGGS, MORDECAI P.","('Mordecai Boggs (Earth-616)', 88)",Male
APOSTATE,"('Astarte (Earth-616)', 68)",Female
"BOWEN, FATHER MICHAE","('Father Time (Elders of the Universe) (Earth-616)', 86)",Male
"FROST, CORDELIA","('Adrienne Frost (Earth-616)', 86)",Female
ZODIAK/NORMAN HARRIS,"('Norman Harold Osborn (Earth-616)', 86)",Male
COPPERHEAD IV/,"('Jester IV (Earth-616)', 86)",Male
"MURDOCK, SISTER MAGG","('Matthew Murdock (Hellspawn) (Earth-616)', 86)",Male
"RAMIREZ, ROSA","('Apache Kid (Rosa) (Earth-616)', 86)",Female
SCARUM/,"('Scarum (Earth-616)', 90)",Male
LORD BALDAR,"('Lord Chaos (Earth-616)', 86)",nan
STRONGARM/,"('Samson (Strongman) (Earth-616)', 70)",Male
VIDAR,"('Vidar Odinson (Earth-616)', 90)",Male
GLADIATOR/MELVIN POT,"('Melvin Potter (Earth-616)', 57)",Male
CAPTAIN MARVEL III/G,"('Captain America (Steven Rogers)', 86)",Male
GREEN GOBLIN V/,"('Joseph Green (Earth-616)', 86)",Male
"BRADDOCK, ELIZABETH","('Elizabeth Braddock (Earth-616)', 86)",Female
"RIDGE, CHRISTINA DEV","('Angel Dust (Christina) (Earth-616)', 86)",Female
MAUVIUS,"('Mavis Benally (Earth-616)', 71)",Female
M-PLATE,"('M-Plate (Earth-616)', 90)",Female
KARGUL,"('Andrea Margulies (Earth-616)', 75)",Female
"MASON, WANDA","('Wanda Maximoff (Earth-616)', 86)",Female
BUTTONS,"('Napier Sutton (Earth-616)', 66)",Male
"JONES, ARMAND","('Richard Jones (Earth-616)', 86)",Male
AIR WALKER/ARLO SAMU,"('Air-Walker (Automaton) (Earth-616)', 86)",Male
MISFIT/,"('Mist (Earth-616)', 68)",Female
LORELEI II/MELODI [A,"('Lorelei (Asgardian) (Earth-616)', 86)",Female
MADAME ROSE,"('Rose Palermo (Earth-616)', 86)",Female
DICE/ROB FORTUNE,"('Erica Fortune (Earth-616)', 86)",Female
YELLOWJACKET II/RITA,"('Seeker II (Inhuman) (Earth-616)', 86)",Male
"SMITH, ANDY","('Tabitha Smith (Earth-616)', 86)",Female
INNARDS,"('Black Patch (All-Winners Squad Foe) (Earth-616)', 66)",Male
SETH,"('Seth (Earth-616)', 90)",Male
RINGO KID,"('Ringo Kid (Earth-616)', 90)",Male
CAPTAIN GLORY,"('Captain America (Steven Rogers)', 86)",Male
STINGER II/,"('Shingen Harada II (Earth-616)', 86)",Male
HOBGOBLIN V/JASON PH,"('Jason Macendale Jr. (Earth-616)', 86)",Male
"MCSHANE, PATRICK","('Michael van Patrick (Patrick) (Earth-616)', 86)",Male
SUB-MARINER/NAMOR MA,"('Namor McKenzie (Heroes Reborn) (Earth-616)', 86)",Male
"STAR, JOAN","('Victoria Star (Earth-616)', 86)",Female
LIONMANE/GEN. LO CHI,"('Iron Maiden (Gene Nation) (Earth-616)', 54)",Female
DEATHLOK | MUTANT X-,"('Headhunter (Mutant) (Earth-616)', 86)",Female
BORROB,"('Cybortrons (Earth-616)', 75)",nan
ROULETTE II/JENNY ST,"('Claudette and Nicole St. Croix (Earth-616)', 86)",Female
T'KYLL ALABAR,"(""T'kyll Alabar (Earth-616)"", 90)",Male
TARANTULA II/CAPT. L,"('Seeker II (Inhuman) (Earth-616)', 86)",Male
"RYKER, LUCY","('Rebecca Ryker (Earth-616)', 86)",Female
HAUS,"('Haus (Earth-616)', 90)",Male
EXPEDITER II/ZOE CUL,"('Seeker II (Inhuman) (Earth-616)', 86)",Male
GAEA,"('Gaea (Earth-616)', 90)",Female
NIMROD,"('Nimrod (Vampire) (Earth-616)', 90)",Male
MUNSON,"('George Munson (Earth-616)', 90)",Male
AIR-WALKER/GABRIEL L,"('Air-Walker (Automaton) (Earth-616)', 86)",Male
HAAG,"('Haag (Asgardian) (Earth-616)', 90)",Female
"TAKACHIHO, MRS.","('Hiro Takachiho (Earth-616)', 86)",Male
BYREL,"('Byrel Whitemane (Earth-616)', 90)",Male
MINDWAVE,"('Mindwave (Telepath) (Earth-616)', 90)",Male
"RAVEN, SABBATH","('Raven Darkholme (Earth-616)', 86)",Female
ARIES/MARCUS LASSITE,"('Marcus Arlington III (Earth-616)', 86)",Male
"PENDRAGON, ARTHUR","('Arthur Maddicks (Earth-616)', 86)",Male
SNOWBLIND/,"('Snowblind (Earth-616)', 90)",Male
HUGIN,"('Hugin (Earth-616)', 90)",Male
SERESTUS,"('Serestus (Earth-616)', 90)",Male
LEVAN,"('Levan (Earth-616)', 90)",Male
ARCTURUS,"('Arcturus Rann (Earth-616)', 90)",Male
"KILLDRAGON, HARMONY","('Harmony Killdragon (Earth-616)', 86)",Female
SAYGE,"('Sayge (Earth-616)', 90)",nan
VARUA/MIRA,"('Mira (Earth-616)', 86)",Female
"INDIGO, ODYSSEUS","('Odysseus Indigo (Earth-616)', 86)",Male
ARRANGER/,"('Arranger (Scarlet Spider) (Earth-616)', 90)",Male
"HAGER, GENERAL","('Lieutenant General Fredricks (Earth-616)', 86)",Male
RADION,"('Madison Jeffries (Earth-616)', 75)",Male
"BURKE, RICKY","('Tracy Burke (Earth-616)', 86)",Female
"RUIZ, RHYTHM","('Margarita Ruiz (Earth-616)', 86)",Female
ZABU,"('Zabu (Earth-616)', 90)",Male
MAGGOTT/JAPHETH,"('Maggott (Japheth) (Earth-616)', 86)",Male
KANDRA,"('Fandral (Earth-616)', 75)",Male
"ANDERSON, GINA","('Gina Morelli (Earth-616)', 86)",Female
"CHEN, JOANNA","('Chen Lu (Earth-616)', 86)",Male
KAREL,"('Karel (Earth-616)', 90)",Male
"DONOHUE, TREVOR","('Trevor Hawkins (Earth-616)', 86)",Male
"VANKIN, JONATHAN","('Jonathan Storm (Earth-616)', 86)",Male
ARCHAEOPTERYX/TONAJA,"('Tonaja (Earth-616)', 53)",Female
BOOMSLANG/,"('Doomsman II (Earth-616)', 60)",Male
SONIC,"('Monica Rambeau (Earth-616)', 72)",Female
KRAGG,"('Skragg (Earth-616)', 90)",Male
KEREM,"('Jeremy Clarke (Earth-616)', 72)",Male
"MCCOY, NORTON","('Henry McCoy (Earth-616)', 86)",Male
JINKU,"('Jinku (Earth-616)', 90)",Male
"DOCKERY, RUPERT","('Rupert Helona (Earth-616)', 86)",Male
"BLANDING, MRS.","('Mrs. Jenks (Earth-616)', 86)",Female
"STAHL, VERONICA","('Veronica Dultry (Earth-616)', 86)",Female
ZANIAC/BRAD WOLFE,"('Brad Wolfe (Earth-616)', 70)",Male
SALTZ/,"('Erik Saltz (Earth-616)', 90)",Male
"DUNLEAVY, GEN. ARLEN","('Dunleavy (Earth-616)', 67)",Male
"MARLES, DR. THOMAS","('Thomas Fireheart (Earth-616)', 86)",Male
VINDALOO/,"('Vera Vidal (Earth-616)', 66)",Female
ARABIAN KNIGHT/ABDUL,"('Black Knight (Young Masters) (Earth-616)', 86)",Female
MOTH/,"('Timothy Dugan (Earth-616)', 90)",Male
"VAZHIN, ALEXEI MIKHA","('Alexei Vazhin (Robot) (Earth-616)', 86)",nan
TERROR II,"('Shingen Harada II (Earth-616)', 86)",Male
PIXIE/ [ETERNAL],"('Ikaris (Eternal) (Earth-616)', 86)",Male
"PEARSON, AUBREY","('Roger Aubrey (Earth-616)', 86)",Male
"DEANGELO, DEVLIN","('Devlin DeAngelo (Earth-616)', 86)",Male
HELKOOKY,"('Helkooky (Earth-616)', 90)",Male
"DANVERS, MRS. JOE","('Joseph Danvers, Sr. (Earth-616)', 86)",Male
"RIGOLETTO, DON DANTE","('Don Jose Del Iturbide (Earth-616)', 86)",Male
CH'VAYRE,"('Ch-Gra (Earth-616)', 86)",Male
ANCIENT ONE/BARON MO,"('Nameless One (Undying Ones Leader) (Earth-616)', 86)",Male
"PILLMAN, JIM","('Jim Lathrop (Earth-616)', 86)",Male
"JAMESON, J. JONAH","('John Jonah Jameson (Earth-616)', 86)",Male
SCENE STEALER,"('Vincent Stewart (Earth-616)', 62)",Male
USAGENT/CAPTAIN JOHN,"('Captain America (Steven Rogers)', 86)",Male
PICO,"('Pico Halfghanaghan (Earth-616)', 90)",Male
BARRIER/,"('Bombardier (Earth-616)', 77)",Female
COPPERHEAD II/,"('Shingen Harada II (Earth-616)', 86)",Male
DR. NEMESIS/DR. STOC,"('Steven Rogers (Dr Bong Clone) (Earth-616)', 86)",Male
"CAIRN, DET.","('Angela Cairn (Earth-616)', 86)",Female
MONTGOMERY,"('James Montgomery Falsworth (Earth-616)', 90)",Male
"BAXTER, NOAH","('Robert Baxter (Earth-616)', 86)",Male
"DWORMAN, JIM","('Jim Lathrop (Earth-616)', 86)",Male
"LUCIFER, REV.","('Lucifer (Lightbearer) (Earth-616)', 86)",Male
"GERARD, TERENCE","('Andr\\u00e9 Gerard (Earth-616)', 86)",Male
"SHERIDAN, LEAH","('Rick Sheridan (Earth-616)', 86)",Male
SERSI/SYLVIA,"('Sylvia Prazniki (Earth-616)', 86)",Female
"SANADA, KONO","('Sheoke Sanada (Earth-616)', 86)",Female
IKARIS/IKE HARRIS [E,"('Yeti (Weapon P.R.I.M.E.) (Earth-616)', 86)",Male
"MCELROY, JAMES","('Wolverine (James \\""Logan\\"" Howlett)', 86)",Male
DARKSTAR/LAYNIA SERG,"('Laynia Petrovna (Earth-616)', 55)",Female
LIFELINE/DEACON,"('Richard Deacon (Earth-616)', 86)",Male
PILGRIMM,"('Pilgrimm (Earth-616)', 90)",Male
MINOTAURUS,"('Minotaurus (Earth-616)', 90)",Male
"CONRAD, LUTHER DUTCH","('Martin Luther King, Jr. (Skrull) (Earth-616)', 86)",Male
"BRAWN, HUNTER","('Robert Hunter (Earth-616)', 86)",Male
SHE-CAT,"('White Tiger (She-Cat) (Earth-616)', 90)",Female
"CHURCH, LYNN","('Lynn Michaels (Earth-616)', 86)",Female
CYCLOPS | MUTANT X-V,"('Headhunter (Mutant) (Earth-616)', 86)",Female
TIMBERIUS II,"('Timberius (Earth-616)', 86)",Male
HELIO,"('Helio (Earth-616)', 90)",Male
"KRAUS, DR. FREIDERIC","('Steven Rogers (Dr Bong Clone) (Earth-616)', 86)",Male
DOUGLOCK 2013,"('Douglas Rockwell (Earth-616)', 56)",Male
"HOBBS, HARRIS","('Deborah Harris (Earth-616)', 86)",Female
SCHEMER/RICHARD FISK,"('Richard Parker (Simulcrum) (Earth-616)', 86)",Male
"BAXTER, ABIGAIL","('Abigail Brand (Earth-616)', 86)",Female
WILLIS,"('Greg Willis (Earth-616)', 90)",Male
"MAXWELL, DR. WILFRED","('Wilfred Maxwell (Earth-616)', 86)",Male
SHIVA,"('Shiva Nataraja (Earth-616)', 90)",Male
KOLOMAQ,"('Kolomaq (Earth-616)', 90)",nan
IMPOSSIBLE WOMAN,"('Impossible Man (Earth-616)', 86)",Male
BUCKY VI/,"('Smasher VI (Earth-616)', 86)",Male
MENTUS,"('Mentus (Earth-616)', 90)",Male
GENTRY,"('Alexander Gentry (Earth-616)', 90)",Male
FIREBALLS/JACK FARLE,"('Peter Parker (Jack) (Earth-616)', 86)",Male
ARCANNA/ARCANNA JONE,"('Prester John (Johann) (Earth-616)', 57)",Male
CACHE,"('Marina Caches (Earth-616)', 90)",Female
"WISDOM, PETE 2013","('Peter Wisdom (Earth-616)', 65)",Male
BRUTO THE STRONGMAN/,"('It the Living Colossus (Earth-616)', 86)",Male
"PETROVITCH, DMITRI","('Dmitri Smerdyakov (Earth-616)', 86)",Male
UPLINK/HECTOR FUENTE,"('Hector (Latin Kings) (Earth-616)', 86)",Male
"COPPERSMITH, ALFRED","('Alfred Coppersmith (Earth-616)', 86)",Male
CORONER,"('Phineas T. Coroner (Earth-616)', 90)",Male
SPIDER-WOMAN/JESSICA,"('Peter Parker (Spider-Skeleton) (Earth-616)', 86)",Male
"HANRAHY, JIM","('Jim Lathrop (Earth-616)', 86)",Male
APOLLO [GREEK GOD],"('Gorr (God Butcher) (Earth-616)', 86)",Male
PANTHER CUB/,"('Panther Lady (Earth-616)', 86)",Female
PAKAI,"('Davan Shakari (Earth-616)', 72)",Male
AMPHARON,"('Anna Maria Marconi (Earth-616)', 68)",Female
SKIDS/SALLY BLEVINS,"('Sally (Legion Personality) (Earth-616)', 86)",Female
WARRIOR WOMAN/JULIA ,"('Old Woman (Red Right Hand) (Earth-616)', 86)",Female
"MICO, RODOLFO","('Rockford Rico (Earth-616)', 57)",Male
SABRETOOTH/VICTOR CR,"('Sabretooth (Victor Creed)', 91)",Male
MADAME MENACE/SUNSET,"('Madame Hydra (Heroes Reborn) (Earth-616)', 86)",Female
KATYUSHA/,"('Katyusha (Anya) (Earth-616)', 90)",Female
WRANGLER/,"('Wrangler (Laralie) (Earth-616)', 90)",Female
SILVERCLAW/LA GARRA ,"('Manuel de la Rocha (Earth-616)', 86)",Male
MAD DOG/COLONEL BUZZ,"('Colonel Hendershoot (Earth-616)', 86)",Male
IRON GIANT MAN | MUT,"('Iron Man (Anthony \\""Tony\\"" Stark)', 86)",Male
RAPTOR II/PROFESSOR ,"('Professor Cartwright (Earth-616)', 86)",Male
CHTYLOK,"('Chtylok (Earth-616)', 90)",Male
"FURY, NICK | MUTANT ","('Nicholas Fury, Jr. (Earth-616)', 86)",Male
VASHTI,"('Vashti Cleito-Son (Earth-616)', 90)",Male
MORLEY,"('Morley Erwin (Earth-616)', 90)",Male
"PRIMO, ALEXIS","('Alexis Primo (Earth-616)', 86)",Female
ASSAULT/,"('Thomas Samuels (Earth-616)', 64)",Male
"CROMWELL, HAMILTON","('Hamilton Slade (Rider) (Earth-616)', 86)",Male
CARNIVORE/COUNT ANDR,"('Count von Blitzkrieg (Earth-616)', 86)",Male
HYNNIT,"('Puishannt (Earth-616)', 62)",Male
WILD MAN/ALEX WILDMA,"('Iron Man (Anthony \\""Tony\\"" Stark)', 86)",Male
VIXEN,"('Vixen (British Crimelord) (Earth-616)', 90)",Female
"CHASE, TREVOR","('Chase Stein (Earth-616)', 86)",Male
BOSHLOVOR,"('Voroshilov (Earth-616)', 64)",Female
"NAPIER, RAMONA DR.","('Ramona Napier (Earth-616)', 86)",Female
SPHINX,"('Sphinxor (Earth-616)', 90)",Male
"ROSENTHAL, BERNIE","('Bernadette Rosenthal (Earth-616)', 86)",Female
"TALBOT, GLENN","('Glenn Talbot (Earth-616)', 86)",Male
SCRIER JR.,"('Jason Macendale Jr. (Earth-616)', 86)",Male
GHOST,"('Ghost (Earth-616)', 90)",Male
"GOLDFARB, AARON","('Alexander Aaron (Earth-616)', 86)",Male
"COHEN, IZZY","('Isadore Cohen (Earth-616)', 86)",Male
LEFT-WINGER/HECTOR L,"('James Madrox (S.H.I.E.L.D. Agent) (Earth-616)', 86)",Male
"SEWARD, ELISABETH","('Elisabeth Wilford (Earth-616)', 86)",Female
CARGO,"('Cargo (Earth-616)', 90)",nan
BINARY/CAROL DANVERS,"('Joseph Danvers, Sr. (Earth-616)', 86)",Male
GRAND OVERSEER,"('Grand Vizier (Asgard) (Earth-616)', 86)",Male
KIKO,"('Makiko Morioka (Earth-616)', 90)",Female
PIPER,"('Piper (Savage Land Mutate) (Earth-616)', 90)",Male
MALOVICK/,"('Malovick (Earth-616)', 90)",Male
FIRESTAR DOPPELGANGE,"('Anthony Stark (Doppelganger) (Earth-616)', 72)",Male
"JONES, NELL","('Richard Jones (Earth-616)', 86)",Male
"KENT, CLARK","('Brandy Clark (Earth-616)', 86)",Female
